Year,Month,Day,Qinflow_cms
1981,1,1,0
1981,1,2,4.09097576
1981,1,3,5.4936533
1981,1,4,5.50607204
1981,1,5,5.50657892
1981,1,6,5.50677204
1981,1,7,5.50656366
1981,1,8,5.50599909
1981,1,9,5.50756741
1981,1,10,5.53011179
1981,1,11,5.6083765
1981,1,12,5.79301167
1981,1,13,6.19926214
1981,1,14,7.25693321
1981,1,15,10.0665216
1981,1,16,17.2858963
1981,1,17,31.6946049
1981,1,18,51.4370117
1981,1,19,70.0080643
1981,1,20,82.4513779
1981,1,21,88.6463776
1981,1,22,91.0205688
1981,1,23,91.7438354
1981,1,24,91.9228897
1981,1,25,91.9595108
1981,1,26,91.9659576
1981,1,27,91.9669342
1981,1,28,91.9673386
1981,1,29,91.9678879
1981,1,30,91.9743118
1981,1,31,91.9888382
1981,2,1,91.9841385
1981,2,2,91.9764633
1981,2,3,91.97686
1981,2,4,91.9924545
1981,2,5,92.0277939
1981,2,6,92.0496597
1981,2,7,92.0654221
1981,2,8,92.0689316
1981,2,9,92.0655441
1981,2,10,92.0906448
1981,2,11,92.1787491
1981,2,12,92.376442
1981,2,13,92.668251
1981,2,14,93.1074448
1981,2,15,93.4459305
1981,2,16,93.1257401
1981,2,17,92.9288864
1981,2,18,92.6741714
1981,2,19,92.3954697
1981,2,20,92.1817093
1981,2,21,92.0584946
1981,2,22,92.0007095
1981,2,23,91.9782639
1981,2,24,91.9709091
1981,2,25,93.8479691
1981,2,26,100.600822
1981,2,27,108.196953
1981,2,28,126.663322
1981,3,1,141.45755
1981,3,2,153.119812
1981,3,3,169.108154
1981,3,4,180.084015
1981,3,5,203.670746
1981,3,6,227.579163
1981,3,7,243.305542
1981,3,8,258.810608
1981,3,9,261.031921
1981,3,10,240.992233
1981,3,11,215.428772
1981,3,12,200.332306
1981,3,13,198.486023
1981,3,14,201.952957
1981,3,15,203.103775
1981,3,16,207.210632
1981,3,17,218.167374
1981,3,18,225.562836
1981,3,19,222.603226
1981,3,20,213.760498
1981,3,21,205.309662
1981,3,22,198.232132
1981,3,23,188.455582
1981,3,24,174.909027
1981,3,25,161.413422
1981,3,26,150.96756
1981,3,27,145.407532
1981,3,28,146.176437
1981,3,29,140.565887
1981,3,30,141.283463
1981,3,31,140.934875
1981,4,1,127.338478
1981,4,2,116.582603
1981,4,3,111.660301
1981,4,4,108.843575
1981,4,5,108.828865
1981,4,6,116.997932
1981,4,7,142.053696
1981,4,8,179.569214
1981,4,9,216.260071
1981,4,10,246.761047
1981,4,11,270.387146
1981,4,12,288.027924
1981,4,13,288.022705
1981,4,14,293.250458
1981,4,15,296.616241
1981,4,16,307.216339
1981,4,17,335.166168
1981,4,18,376.039795
1981,4,19,425.852386
1981,4,20,481.732941
1981,4,21,525.26593
1981,4,22,595.680725
1981,4,23,676.941406
1981,4,24,737.967896
1981,4,25,797.623474
1981,4,26,867.909241
1981,4,27,964.317444
1981,4,28,1066.22192
1981,4,29,1161.38623
1981,4,30,1240.5188
1981,5,1,1275.68164
1981,5,2,1292.33301
1981,5,3,1330.98389
1981,5,4,1380.75818
1981,5,5,1427.53918
1981,5,6,1501.40576
1981,5,7,1603.91077
1981,5,8,1724.9082
1981,5,9,1827.66614
1981,5,10,1934.32703
1981,5,11,2042.26404
1981,5,12,2173.95776
1981,5,13,2339.44653
1981,5,14,2556.19897
1981,5,15,2781.77515
1981,5,16,3003.73828
1981,5,17,3275.31592
1981,5,18,3538.89258
1981,5,19,3810.927
1981,5,20,4099.38379
1981,5,21,4364.87939
1981,5,22,4712.51172
1981,5,23,5144.67236
1981,5,24,5506.29883
1981,5,25,5848.43701
1981,5,26,6176.67578
1981,5,27,6414.39209
1981,5,28,6514.95947
1981,5,29,6480.42285
1981,5,30,6237.80566
1981,5,31,5896.50293
1981,6,1,5546.57715
1981,6,2,5259.25293
1981,6,3,5044.19189
1981,6,4,4883.41309
1981,6,5,4840.36865
1981,6,6,4884.18604
1981,6,7,4996.23096
1981,6,8,5093.72266
1981,6,9,5171.7832
1981,6,10,5203.28516
1981,6,11,5299.68701
1981,6,12,5478.53809
1981,6,13,5759.78564
1981,6,14,5994.35938
1981,6,15,6171.97412
1981,6,16,6285.21094
1981,6,17,6431.80225
1981,6,18,6480.56982
1981,6,19,6569.51074
1981,6,20,6634.07959
1981,6,21,6596.24512
1981,6,22,6403.49854
1981,6,23,6206.93115
1981,6,24,6014.23633
1981,6,25,5832.53564
1981,6,26,5616.03857
1981,6,27,5411.03027
1981,6,28,5208.12061
1981,6,29,4988.07031
1981,6,30,4730.20801
1981,7,1,4458.81934
1981,7,2,4184.64746
1981,7,3,3907.54932
1981,7,4,3703.0166
1981,7,5,3676.04883
1981,7,6,3652.04565
