,,MonthlyEnergy_MWh,OutflowMin_cms,OutflowMax_cms,EFmean_cms,OFF_share
1981,1,7882.531199999999,150.0,150.0,150.0,0.0
1981,2,7119.705599999999,150.0,150.0,150.0,0.0
1981,3,7882.531199999999,150.0,261.031921,150.0,0.0
1981,4,15256.511999999999,150.0,1240.5188,150.0,0.0
1981,5,0.0,1275.68164,1320.0,180.0,1.0
1981,6,0.0,1320.0,1320.0,180.0,1.0
1981,7,0.0,1320.0,1320.0,180.0,1.0
1981,8,0.0,1320.0,1320.0,180.0,1.0
1981,9,0.0,1320.0,1320.0,180.0,1.0
1981,10,15765.062399999999,1320.0,1320.0,150.0,0.0
1981,11,15256.511999999999,588.945007,1320.0,150.0,0.0
1981,12,12946.708667719295,222.398102,482.605743,150.0,0.0
1982,1,15765.062399999999,304.605042,323.400635,150.0,0.0
1982,2,14239.411199999999,314.71225,463.531921,150.0,0.0
1982,3,15765.062399999999,412.163544,534.193298,150.0,0.0
1982,4,15256.511999999999,462.789215,1320.0,150.0,0.0
1982,5,0.0,1320.0,1320.0,180.0,1.0
1982,6,0.0,1320.0,1320.0,180.0,1.0
1982,7,0.0,1320.0,1320.0,180.0,1.0
1982,8,0.0,1320.0,1320.0,180.0,1.0
1982,9,0.0,1320.0,1320.0,180.0,1.0
1982,10,15765.062399999999,1320.0,1320.0,150.0,0.0
1982,11,15256.511999999999,504.105225,1320.0,150.0,0.0
1982,12,11406.779737246656,217.064407,513.122375,150.0,0.0
1983,1,15765.062399999999,249.192062,336.056091,150.0,0.0
1983,2,14239.411199999999,330.551453,372.148987,150.0,0.0
1983,3,15765.062399999999,343.025604,441.935181,150.0,0.0
1983,4,15256.511999999999,323.166992,470.055389,150.0,0.0
1983,5,0.0,519.234741,1320.0,180.0,1.0
1983,6,0.0,1320.0,1320.0,180.0,1.0
1983,7,0.0,1320.0,1320.0,180.0,1.0
1983,8,0.0,1320.0,1320.0,180.0,1.0
1983,9,0.0,1320.0,1320.0,180.0,1.0
1983,10,15765.062399999999,1320.0,1320.0,150.0,0.0
